번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트,,,,
1,60310,3S,32602,전자부품 제조업,41974138,20987069000,500,원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1,2116,,,,
2,95570,AJ네트웍스,126903,산업용 기계 및 장비 임대업,9364459,46822295000,5000,원(KRW),02-6240-0800,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",2116,,,,
3,68400,AJ렌터카,126901,운송장비 임대업,22146300,11073150000,500,원(KRW),1544-1600,서울특별시 구로구  서부샛길 822,2116,,,,
4,6840,AK홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",13247561,66237805000,5000,원(KRW),02-6923-2921,서울특별시 구로구 구로중앙로 152(구로동),2116,,,,
5,54620,AP시스템,32902,특수 목적용 기계 제조업,25609961,12804980500,500,원(KRW),031-379-2700,경기도 화성시 동탄면 동탄산단8길 15-5,2116,,,,
6,211270,AP위성,32604,통신 및 방송 장비 제조업,15014804,7507402000,500,원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,2116,,,,
7,27410,BGF리테일,74701,종합 소매업,24773964,24773964000,1000,,1577-3663,서울특별시 강남구 테헤란로 405,2116,,,,
8,138930,BNK금융지주,116409,기타 금융업,325935246,1629676230000,5000,원(KRW),051-620-3022,부산광역시 남구 문현금융로 30(문현동),2116,,,,
9,1460,BYC,31401,봉제의복 제조업,624615,4200000000,5000,원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3,2116,,,,
10,32040,C&S자산관리,147509,기타 사업지원 서비스업,28554841,71387102500,2500,원(KRW),02  -732 -9676,"서울특별시 종로구  사직로 130 (적선동,적선현대제1빌딩제907호)",2116,,,,
11,1040,CJ,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",29173998,157899810000,5000,원(KRW),02-726-8114,서울특별시 중구 소월로2길 12 (남대문로5가),2116,,,,
12,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",21161313,10580656500,500,원(KRW),02-371-6660,서울시 마포구 월드컵북로 434 10층(상암동),2116,,,,
13,130960,CJ E&M,106002,텔레비전 방송업,38732089,193660445000,5000,원(KRW),02-371-5501,서울특별시 마포구  상암산로 66 CJ E&M CENTER,2116,,,,
14,120,CJ대한통운,84903,도로 화물 운송업,22812344,114061720000,5000,원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53,2116,,,,
15,11150,CJ씨푸드,31007,기타 식품 제조업,35930773,18065386500,500,원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),2116,,,,
